author,title,type,tag,sub-tag
Frantz Fanon,The Wretched of the Earth,non-fiction,politics,
Franz Kafka,The Metamorphosis,fiction,,
Franz Kafka,The Complete Novels,fiction,,
Fyodor Dostoevsky,Crime and Punishment,fiction,,
Fyodor Dostoevsky,The Karamazov Brothers,fiction,,
Gabriel García Márquez,One Hundred Years of Solitude,fiction,,
Gabriel García Márquez,Love in the Time of Cholera,fiction,,
Gaël Faye,Petit Pays,fiction,,
Gareth Rubin,The Turnglass,fiction,,
Geetanjali Shree,Tomb of Sand,fiction,,
Geoff Dyer,White Sands,non-fiction,essays,
Geoffrey West,Scale,non-fiction,science,
George Orwell,Animal Farm,fiction,,
George Orwell,The Road to Wigan Pier,non-fiction,reportage,
George Orwell,Down and Out in Paris and London,non-fiction,reportage,
George Orwell,Homage to Catalonia,non-fiction,reportage,
George Orwell,1984,fiction,,
George Saunders,Liberation Day,fiction,,
George Saunders,A Swim in a Pond in the Rain,fiction,,
George Saunders,Pastoralia,fiction,,
George Saunders,Tenth of December,fiction,,
Gerald Murnane,The Plains,fiction,,
Giovanni Arrighi,The Long Twentieth Century,non-fiction,politics,
Grace Blakeley,Stolen: How to Save the World from Financialisation,non-fiction,politics,
Gregory Harms,The Palestine-Israel Conflict: A Basic Introduction,non-fiction,international,middle east
Gregory Zuckerman,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,non-fiction,biography,business
Günter Grass,The Tin Drum,fiction,,
Hal R. Varian,Intermediate Microeconomics: A Modern Approach (Seventh Edition),non-fiction,economics,theory
Han Kang,Greek Lessons,fiction,,
Han Kang,The White Book,fiction,,
Han Kang,Human Acts,fiction,,
Han Kang,The Vegetarian,fiction,,
Hannah Arendt,On Lying and Politics,non-fiction,politics,
Hannah Arendt,On Violence,fiction,,
Hannah Arendt,The Origins of Totalitarianism,non-fiction,politics,
Hannah Ritchie,Not the End of the World: How We Can Be the First Generation to Build a Sustainable Planet,non-fiction,science,earth sciences
Hanya Yanagihara,A Little Life,fiction,,
Harper Lee,To Kill a Mockingbird,fiction,,
Haruki Murakami,After Dark,fiction,,
Haruki Murakami,What I Talk About When I Talk About Running,non-fiction,essays,
Haruki Murakami,Kafka on the Shore,fiction,,
Haruki Murakami,Norwegian Wood,fiction,,
Hayden Herrera,Frida: A Biography of Frida Kahlo,non-fiction,biography,art
Helen DeWitt,The Last Samurai,fiction,,
Henrik Ibsen,A Doll's House and Other Plays,fiction,,
Henry Kissinger,On China,non-fiction,international,china
Herman Melville,Moby Dick,fiction,,
Hermann Hesse,Siddhartha,fiction,,
Herta Müller,The Hunger Angel,fiction,,
Hesiod,Theogony,fiction,,
Hesiod,Works and Days,fiction,,
Hilary Mantel,A Place of Greater Safety,fiction,,
Hilary Mantel,Wolf Hall,fiction,,
Hobart & Huber,Boom,non-fiction,finance,history
Homer,The Iliad,fiction,,
Homer,The Odyssey,fiction,,
Hugh Brogan,The Penguin History of the USA,non-fiction,history,american
Ian Graham,Fifty Ships that Changed the World,non-fiction,international,maritime
Ian McEwan,Lessons,fiction,,
Ian McEwan,My Purple Scented Novel,fiction,,
Ian Walker,Endless Perfect Circles,non-fiction,sports,
Immanuel Wallerstein,World-Systems Analysis: An Introduction,non-fiction,politics,
Italo Calvino,Collection of Sand,fiction,,
Italo Calvino,Mr Palomar,fiction,,
Italo Calvino,Our Ancestors,fiction,,
Italo Calvino,The Baron in the Trees,fiction,,
Italo Calvino,If on a Winter's Night a Traveler,fiction,,
Italo Calvino,Invisible Cities,fiction,,
J. Bradford DeLong,Slouching Towards Utopia: An Economic History of the Twentieth Century,non-fiction,economics,history
J.D. Salinger,The Catcher in the Rye,fiction,,
J.E. Gordon,Structures,non-fiction,science,engineering
J.G. Ballard,Crash,fiction,,
J.M. Coetzee,Waiting for the Barbarians,fiction,,
J.M. Coetzee,Disgrace,fiction,,
Jack E. Davis,Gulf: The Making of an American Sea,non-fiction,international,maritime
Jacob Helberg,The Wires of War,non-fiction,international,conflict
James Baldwin,Dark Days,fiction,,
James Baldwin,Giovanni’s Room,fiction,,
James Baldwin,Notes of a Native Son,non-fiction,essays,
James Baldwin,Sonny's Blues,fiction,,
James Baldwin,The Fire Next Time,non-fiction,essays,
James C. Scott,Seeing Like a State,non-fiction,politics,
James Conaway,Napa: The Story of an American Eden,non-fiction,history,california
James E. Lovelock,The Ages of Gaia: A Biography of Our Living Earth,non-fiction,science,earth sciences
James Hawes,The Shortest History of Germany,non-fiction,history,european
James Joyce,Ulysses,fiction,,
James Joyce,A Portrait of the Artist as a Young Man,fiction,,
Jamie Green,The Possibility of Life,non-fiction,science,biology
Jared Diamond,Guns Germs and Steel,non-fiction,history,
Jean Tirole,Economics for the Common Good,non-fiction,economics,
Jean-Paul Sartre,Nausea,fiction,,
Jeff Vail,A Theory of Power,non-fiction,politics,
Jeffrey Eugenides,Middlesex,fiction,,
Jennifer Egan,A Visit from the Goon Squad,fiction,,
Jennifer Pahlka,Recoding America,non-fiction,politics,
Jennifer R. March,The Penguin Book of Classical Myths,fiction,,
Jesse Lecavalier,The Rule of Logistics,non-fiction,business,
Jhumpa Lahiri,Whereabouts,fiction,,
Joan Didion,Slouching Towards Bethlehem,non-fiction,essays,
